Date,Concatenate,Day,Month,Year,Band,Headline,Support,Venue,Notes
15 July 1994,"On this day in 1994 Mike saw Carter the Unstoppable Sex Machine, Fall, Half Man Half Biscuit, Kirsty MacColl, Posies, Wonderstuff, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",15,7,1994,Phoenix Festival,The Wonderstuff,"Carter the Unstoppable Sex Machine, Fall, Half Man Half Biscuit, Kirsty MacColl, Posies, Wonderstuff","Stratford-upon-Avon, Long Marston Airfield",
15 July 2007,On this day in 2007 Mike saw Bravery supported by Cinematics at Nottingham Rescue Rooms,15,7,2007,Bravery,The Bravery,Cinematics,Nottingham Rescue Rooms,
16 July 1993,"On this day in 1993 Mike saw Buzzcocks, Disposable Heroes of Hiphoprisy, Family Cat, Fatima Mansions, God Machine, Hole, Jacob's Mouse, Pulp, Sonic Youth, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",16,7,1993,Phoenix Festival,Sonic Youth,"Buzzcocks, Disposable Heroes of Hiphoprisy, Family Cat, Fatima Mansions, God Machine, Hole, Jacob's Mouse, Pulp, Sonic Youth","Stratford-upon-Avon, Long Marston Airfield",
16 July 1994,"On this day in 1994 Mike saw Baby Chaos, Compulsion, Pop Will Eat Itself, Sandals, Senseless Things, Terry Hall, These Animal Men, Urban Dance Squad, Voodoo Queens, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",16,7,1994,Phoenix Festival,Pop Will Eat Itself,"Baby Chaos, Compulsion, Pop Will Eat Itself, Sandals, Senseless Things, Terry Hall, These Animal Men, Urban Dance Squad, Voodoo Queens","Stratford-upon-Avon, Long Marston Airfield",
16 July 2019,On this day in 2019 Mike saw Rolling Blackouts Coastal Fever supported by Thyla at Sheffield Leadmill,16,7,2019,Rolling Blackouts Coastal Fever,Rolling Blackouts Coastal Fever,Thyla,Sheffield Leadmill,
17 July 1992,On this day in 1992 Mike saw Th' Faith Healers supported by Jacob's Mouse at Cambridge - The Junction,17,7,1992,Th' Faith Healers,Th' Faith Healers,Jacob's Mouse,Cambridge - The Junction,
17 July 1993,"On this day in 1993 Mike saw Back to the Planet, Billy Bragg, Cardiacs, Die Cheerleader, Faith No More, Men They Couldn't Hang, New Fast Automatic Daffodils, Senser, Silverfish, Th' Faith Healers, That Petrol Emotion, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",17,7,1993,Phoenix Festival,Faith No More,"Back to the Planet, Billy Bragg, Cardiacs, Die Cheerleader, Faith No More, Men They Couldn't Hang, New Fast Automatic Daffodils, Senser, Silverfish, Th' Faith Healers, That Petrol Emotion","Stratford-upon-Avon, Long Marston Airfield",
17 July 1994,"On this day in 1994 Mike saw Blaggers ITA, Buzzcocks, Family Cat, Fatima Mansions, Girls Against Boys, Killing Joke, Ned's Atomic Dustbin, NO FX, Shellac, Therapy?, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",17,7,1994,Phoenix Festival,Shellac,"Blaggers ITA, Buzzcocks, Family Cat, Fatima Mansions, Girls Against Boys, Killing Joke, Ned's Atomic Dustbin, NO FX, Shellac, Therapy?","Stratford-upon-Avon, Long Marston Airfield",
18 July 1993,"On this day in 1993 Mike saw Bivouac, Helmet, Manic Street Preachers, Pop Will Eat Itself, Stereolab, Strangelove, Hyperhead, at Phoenix Festival, Stratford-upon-Avon, Long Marston Airfield",18,7,1993,Phoenix Festival,Pop Will Eat Itself,"Bivouac, Helmet, Manic Street Preachers, Pop Will Eat Itself, Stereolab, Strangelove, Hyperhead","Stratford-upon-Avon, Long Marston Airfield",
22 July 1989,On this day in 1989 Mike saw Cure supported by Shelleyan Orphan at Wembley Arena,22,7,1989,Cure,The Cure,Shelleyan Orphan,Wembley Arena,
22 July 1995,"On this day in 1995 Mike saw Birth, Bluetones, Cecil, Chumbawamba, Marion, Menswear, Powder, Pulp, Salad, Skunk Anansie, Sleeper, at Heineken Music Festival, Leeds Roundhay Park",22,7,1995,Heineken Music Festival,Pulp,"Birth, Bluetones, Cecil, Chumbawamba, Marion, Menswear, Powder, Pulp, Salad, Skunk Anansie, Sleeper",Leeds Roundhay Park,
24 July 2019,On this day in 2019 Mike saw Murder Capital supported by Egyptian Blue at Leicester The Cookie,24,7,2019,Murder Capital,The Murder Capital,Egyptian Blue,Leicester The Cookie,
25 July 2009,"On this day in 2009 Mike saw Alaska, Butcher Boy, Frank & Walters, La Casa Azul, Little My, Poppy & Friends, Wake the President, at Indietracks Festival, Butterley Midland Railway",25,7,2009,Indietracks Festival,La Casa Azul,"Alaska, Butcher Boy, Frank & Walters, La Casa Azul, Little My, Poppy & Friends, Wake the President",Butterley Midland Railway,
26 July 1991,"On this day in 1991 Mike saw Family Cat supported by Becketts, Hinnies at New Cross - The Venue",26,7,1991,Family Cat,The Family Cat,"Becketts, Hinnies",New Cross - The Venue,
26 July 2009,"On this day in 2009 Mike saw Art Brut, BMX Bandits, Countryside, Eux Autres, Help Stamp Out Loneliness, Lucky Soul, Manhattan Love Suicides, Northern Portrait, Smittens, Ste McCabe, Stereo Total, at Indietracks Festival, Butterley Midland Railway",26,7,2009,Indietracks Festival,Teenage Fan Club,"Art Brut, BMX Bandits, Countryside, Eux Autres, Help Stamp Out Loneliness, Lucky Soul, Manhattan Love Suicides, Northern Portrait, Smittens, Ste McCabe, Stereo Total",Butterley Midland Railway,
27 July 1991,"On this day in 1991 Mike saw Ride, Curve, Foam, Ian McNabb, Mock Turtles, Ratcat, Revolver, Slowdive, Soul Family Sensation, Thousand Yard Stare, at Slough Festival, Upton Court Park, Slough",27,7,1991,Slough Festival,Ride,"Ride, Curve, Foam, Ian McNabb, Mock Turtles, Ratcat, Revolver, Slowdive, Soul Family Sensation, Thousand Yard Stare","Upton Court Park, Slough",
28 July 2007,"On this day in 2007 Mike saw Arctic Monkeys supported by Supergrass, The Coral, Amy Winehouse, The Parrots at Lancashire Cricket Club",28,7,2007,Arctic Monkeys,Arctic Monkeys,"Supergrass, The Coral, Amy Winehouse, The Parrots",Lancashire Cricket Club,
28 July 2018,"On this day in 2018 Mike saw Amber Arcades, Darren Hayman, Dream Wife, Ghum, Linda Guilala, Sea Power, Strange New Places, at Indietracks Festival, Butterley Midland Railway",28,7,2018,Indietracks Festival,Sea Power,"Amber Arcades, Darren Hayman, Dream Wife, Ghum, Linda Guilala, Sea Power, Strange New Places",Butterley Midland Railway,
29 July 1990,"On this day in 1990 Mike saw Divine Comedy supported by Milltown Brothers, Mock Turtles, Five Thirty, Jive Turkey at University of London (ULU)",29,7,1990,Divine Comedy,Five Thirty,"Milltown Brothers, Mock Turtles, Five Thirty, Jive Turkey",University of London (ULU),
29 July 1995,"On this day in 1995 Mike saw REM supported by Blur, Belly, Magnapop at Milton Keynes Bowl",29,7,1995,REM,REM,"Blur, Belly, Magnapop",Milton Keynes Bowl,
29 July 2018,"On this day in 2018 Mike saw Anna Burch, Dream Nails, Even As We Speak, Gwenno, Haiku Salut, Honeyblood, Life Model, Sink Ya Teeth, at Indietracks Festival, Butterley Midland Railway",29,7,2018,Indietracks Festival,Honeyblood,"Anna Burch, Dream Nails, Even As We Speak, Gwenno, Haiku Salut, Honeyblood, Life Model, Sink Ya Teeth",Butterley Midland Railway,
30 July 2011,"On this day in 2011 Mike saw Butcher Boy, Edwyn Collins, Help Stamp Out Loneliness, Hidden Cameras, History of Apple Pie, Just Handshakes (We're British), Math & Physics Club, Milky Wimpshake, Peru, Wendy Darlings, at Indietracks Festival, Butterley Midland Railway",30,7,2011,Indietracks Festival,Edwyn Collins,"Butcher Boy, Edwyn Collins, Help Stamp Out Loneliness, Hidden Cameras, History of Apple Pie, Just Handshakes (We're British), Math & Physics Club, Milky Wimpshake, Peru, Wendy Darlings",Butterley Midland Railway,
1 August 2005,On this day in 2005 Mike saw Nine Black Alps supported by We Start Fires at Leicester - The Charlotte,1,8,2005,Nine Black Alps,Nine Black Alps,We Start Fires,Leicester - The Charlotte,
2 August 1991,"On this day in 1991 Mike saw Black Francis, Farm, Golden Horde, Happy Mondays, Mock Turtles, Power of Dreams, Ride, That Petrol Emotion, at Feile Festival, Thurles, Ireland, Semple Stadium",2,8,1991,Feile Festival,Happy Mondays,"Black Francis, Farm, Golden Horde, Happy Mondays, Mock Turtles, Power of Dreams, Ride, That Petrol Emotion","Thurles, Ireland, Semple Stadium",
3 August 1991,"On this day in 1991 Mike saw Billy Bragg, Elvis Costello, Paul Brady, Saw Doctors, Something Happens, Transvision Vamp, at Feile Festival, Thurles, Ireland, Semple Stadium",3,8,1991,Feile Festival,Elvis Costello,"Billy Bragg, Elvis Costello, Paul Brady, Saw Doctors, Something Happens, Transvision Vamp","Thurles, Ireland, Semple Stadium",
3 August 1995,"On this day in 1995 Mike saw Quickspace Supersport supported by Penthouse, Emperor Julian at Kings Cross - Water Rats",3,8,1995,Quickspace Supersport,Quickspace Supersport,"Penthouse, Emperor Julian",Kings Cross - Water Rats,
4 August 1991,"On this day in 1991 Mike saw Pogues, Roddy Frame, Van Morrison, Wonderstuff, at Feile Festival, Thurles, Ireland, Semple Stadium",4,8,1991,Feile Festival,The Pogues,"Pogues, Roddy Frame, Van Morrison, Wonderstuff","Thurles, Ireland, Semple Stadium",
4 August 2004,On this day in 2004 Mike saw Mission at Nottingham Rescue Rooms,4,8,2004,Mission,The Mission,,Nottingham Rescue Rooms,
4 August 2010,On this day in 2010 Mike saw Violet Violet supported by Mai 68s at Leicester Firebug,4,8,2010,Violet Violet,Violet Violet,Mai 68s,Leicester Firebug,
5 August 1990,On this day in 1990 Mike saw Soup Dragons supported by Teenage Fan Club at London Town & Country Club,5,8,1990,Soup Dragons,Soup Dragons,Teenage Fan Club,London Town & Country Club,
9 August 1986,"On this day in 1986 Mike saw Queen supported by Status Quo, Big Country, Belouis Some at Knebworth Park",9,8,1986,Queen,Queen,"Status Quo, Big Country, Belouis Some",Knebworth Park,
9 August 1990,On this day in 1990 Mike saw Godfathers supported by Dean Dwyer at Cambridge - The Junction,9,8,1990,Godfathers,The Godfathers,Dean Dwyer,Cambridge - The Junction,
9 August 2015,On this day in 2015 Mike saw Ceremony at Nottingham Bodega,9,8,2015,Ceremony,Ceremony,,Nottingham Bodega,
10 August 1990,"On this day in 1990 Mike saw Lush supported by Moose at London Borderline, Charing Cross",10,8,1990,Lush,Lush,Moose,"London Borderline, Charing Cross",
10 August 1995,On this day in 1995 Mike saw Sidi Bou Said supported by Hoover Dan at Cambridge Boat Race,10,8,1995,Sidi Bou Said,Sidi Bou Said,Hoover Dan,Cambridge Boat Race,
11 August 1990,"On this day in 1990 Mike saw Stranglers supported by Family Cat, Godfathers, That Petrol Emotion, Vagabond Joy at London Alexandra Palace",11,8,1990,Stranglers,The Stranglers,"Family Cat, Godfathers, That Petrol Emotion, Vagabond Joy",London Alexandra Palace,Town and Country Club’s 5th Birthday Celebration Party
11 August 2005,On this day in 2005 Mike saw Rakes supported by Battle at Birmingham Carling Academy 2,11,8,2005,Rakes,The Rakes,Battle,Birmingham Carling Academy 2,
12 August 1994,On this day in 1994 Mike saw Pagan Billy at Cambridge Haymakers,12,8,1994,Pagan Billy,Pagan Billy,,Cambridge Haymakers,
12 August 2012,"On this day in 2012 Mike saw Blur supported by Specials, New Order, Bombay Bicycle Club at London Hyde Park",12,8,2012,Blur,Blur,"Specials, New Order, Bombay Bicycle Club",London Hyde Park,
13 August 1994,On this day in 1994 Mike saw Bowlfish supported by Smudge at Islington - The Garage,13,8,1994,Bowlfish,Smudge,Smudge,Islington - The Garage,
15 August 1992,On this day in 1992 Mike saw Family Cat supported by 3½ Minutes at Southampton - Joiner's Arms,15,8,1992,Family Cat,The Family Cat,3½ Minutes,Southampton - Joiner's Arms,
15 August 2001,On this day in 2001 Mike saw U2 supported by Kelis at Birmingham NEC,15,8,2001,U2,U2,Kelis,Birmingham NEC,
15 August 2013,On this day in 2013 Mike saw B-52's supported by Members at Birmingham 02 Academy,15,8,2013,B-52's,The B-52's,Members,Birmingham 02 Academy,
16 August 2006,On this day in 2006 Mike saw Cud at Birmingham Carling Academy 2,16,8,2006,Cud,Cud,,Birmingham Carling Academy 2,
17 August 1991,On this day in 1991 Mike saw Blue Aeroplanes supported by Jacob's Mouse at Cambridge - Jesus Green,17,8,1991,Blue Aeroplanes,Blue Aeroplanes,Jacob's Mouse,Cambridge - Jesus Green,
17 August 1994,On this day in 1994 Mike saw Voodoo Queens supported by Jacob's Mouse at Cambridge Boat Race,17,8,1994,Voodoo Queens,Voodoo Queens,Jacob's Mouse,Cambridge Boat Race,
18 August 1994,On this day in 1994 Mike saw Oasis supported by Ocean Colour Scene at London Astoria,18,8,1994,Oasis,Oasis,Ocean Colour Scene,London Astoria,
18 August 2001,"On this day in 2001 Mike saw Crowded House, Doves, Idlewild, Placebo, Starsailor, at V Festival, Staffordshire Weston Park",18,8,2001,V Festival,,"Crowded House, Doves, Idlewild, Placebo, Starsailor",Staffordshire Weston Park,
19 August 2012,"On this day in 2012 Mike saw Billy Bragg, Black Seeds, Cowboy, Deer Tick, Furies, Japandroids, Midnight Wire, Public Image Ltd, Reverend & the Makers, Team Me, Twilight Sad, at Summer Sundae Festival, Leicester De Montfort Hall",19,8,2012,Summer Sundae Festival,Public Image Ltd,"Billy Bragg, Black Seeds, Cowboy, Deer Tick, Furies, Japandroids, Midnight Wire, Public Image Ltd, Reverend & the Makers, Team Me, Twilight Sad",Leicester De Montfort Hall,
20 August 2007,On this day in 2007 Mike saw Interpol supported by Maccabees at Birmingham Carling Academy ,20,8,2007,Interpol,Interpol,Maccabees,Birmingham Carling Academy ,
20 August 2009,On this day in 2009 Mike saw U2 supported by Elbow at Sheffield Don Valley Stadium,20,8,2009,U2,U2,Elbow,Sheffield Don Valley Stadium,
20 August 2014,On this day in 2014 Mike saw Pains of Being Pure at Heart supported by Ablebody at Nottingham Bodega,20,8,2014,Pains of Being Pure at Heart,The Pains of Being Pure at Heart,Ablebody,Nottingham Bodega,
22 August 1990,"On this day in 1990 Mike saw Senseless Things supported by Colour Factory, Jacob's Mouse at Cambridge - The Junction",22,8,1990,Senseless Things,The Senseless Things,"Colour Factory, Jacob's Mouse",Cambridge - The Junction,
22 August 1992,On this day in 1992 Mike saw Cud at Cambridge - Jesus Green,22,8,1992,Cud,Cud,,Cambridge - Jesus Green,
23 August 1991,"On this day in 1991 Mike saw Babes in Toyland, Chapterhouse, Dinosaur Jr, Family Cat, Iggy Pop, Nirvana, Pop Will Eat Itself, Silverfish, Sonic Youth, at Reading Festival, Reading Little John's Farm",23,8,1991,Reading Festival,Iggy Pop,"Babes in Toyland, Chapterhouse, Dinosaur Jr, Family Cat, Iggy Pop, Nirvana, Pop Will Eat Itself, Silverfish, Sonic Youth",Reading Little John's Farm,
24 August 1990,"On this day in 1990 Mike saw An Emotional Fish, Cramps, Faith No More, Mega City Four, Mudhoney, Nick Cave & The Bad Seeds, at Reading Festival, Reading Little John's Farm",24,8,1990,Reading Festival,The Cramps,"An Emotional Fish, Cramps, Faith No More, Mega City Four, Mudhoney, Nick Cave & The Bad Seeds",Reading Little John's Farm,
24 August 1991,"On this day in 1991 Mike saw Blur, Carter the Unstoppable Sex Machine, De la Soul, Fall, Fat Lady Sings, Five Thirty, Flowered Up, James, Kingmaker, Teenage Fan Club, at Reading Festival, Reading Little John's Farm",24,8,1991,Reading Festival,James,"Blur, Carter the Unstoppable Sex Machine, De la Soul, Fall, Fat Lady Sings, Five Thirty, Flowered Up, James, Kingmaker, Teenage Fan Club",Reading Little John's Farm,
25 August 1989,"On this day in 1989 Mike saw Gaye Bykers on Acid, House of Love, My Bloody Valentine, New Order, Spaceman 3, Sugarcubes, Swans, Tackhead, That Petrol Emotion, at Reading Festival, Reading Little John's Farm",25,8,1989,Reading Festival,New Order,"Gaye Bykers on Acid, House of Love, My Bloody Valentine, New Order, Spaceman 3, Sugarcubes, Swans, Tackhead, That Petrol Emotion",Reading Little John's Farm,
25 August 1990,"On this day in 1990 Mike saw Billy Bragg, Buzzcocks, Chills, Fatima Mansions, Inspiral Carpets, Man from Delmonte, Milltown Brothers, Pere Ubu, Psychic TV, Ride, Trashcan Sinatras, Wedding Present, Wire, Young Gods, at Reading Festival, Reading Little John's Farm",25,8,1990,Reading Festival,Inspiral Carpets,"Billy Bragg, Buzzcocks, Chills, Fatima Mansions, Inspiral Carpets, Man from Delmonte, Milltown Brothers, Pere Ubu, Psychic TV, Ride, Trashcan Sinatras, Wedding Present, Wire, Young Gods",Reading Little John's Farm,
25 August 1991,"On this day in 1991 Mike saw Bongwater, Catherine Wheel, Fatima Mansions, Gang Starr, Godfathers, Kitchens of Distinction, Ned's Atomic Dustbin, New Fast Automatic Daffodils, Nitzer Ebb, Senseless Things, Sisters of Mercy, Swervedriver, at Reading Festival, Reading Little John's Farm",25,8,1991,Reading Festival,The Sisters of Mercy,"Bongwater, Catherine Wheel, Fatima Mansions, Gang Starr, Godfathers, Kitchens of Distinction, Ned's Atomic Dustbin, New Fast Automatic Daffodils, Nitzer Ebb, Senseless Things, Sisters of Mercy, Swervedriver",Reading Little John's Farm,
25 August 1995,"On this day in 1995 Mike saw Beck, China Drum, Deus, Green Day, Hole, Juliana Hatfield, Smashing Pumpkins, Stereolab, Teenage Fan Club, We Know Where You Live, at Reading Festival, Reading Little John's Farm",25,8,1995,Reading Festival,Smashing Pumpkins,"Beck, China Drum, Deus, Green Day, Hole, Juliana Hatfield, Smashing Pumpkins, Stereolab, Teenage Fan Club, We Know Where You Live",Reading Little John's Farm,
26 August 1989,"On this day in 1989 Mike saw Bhundu Boys, Billy Bragg, Frank Sidebottom, Les Negresses Vertes, Men They Couldn't Hang, New Model Army, Pogues, Wedding Present, at Reading Festival, Reading Little John's Farm",26,8,1989,Reading Festival,The Pogues,"Bhundu Boys, Billy Bragg, Frank Sidebottom, Les Negresses Vertes, Men They Couldn't Hang, New Model Army, Pogues, Wedding Present",Reading Little John's Farm,
26 August 1990,"On this day in 1990 Mike saw Fall, Jesus Jones, Living Colour, Loop, Pixies, Senseless Things, Stereo MCs, Tackhead, Telescopes, Thee Hypnotics, at Reading Festival, Reading Little John's Farm",26,8,1990,Reading Festival,The Pixies,"Fall, Jesus Jones, Living Colour, Loop, Pixies, Senseless Things, Stereo MCs, Tackhead, Telescopes, Thee Hypnotics",Reading Little John's Farm,
26 August 1994,"On this day in 1994 Mike saw Cypress Hill, Frank Black, Gang Starr, Hole, Lemonheads, Pavement, Smudge, Verve, Wedding Present, at Reading Festival, Reading Little John's Farm",26,8,1994,Reading Festival,Cypress Hill,"Cypress Hill, Frank Black, Gang Starr, Hole, Lemonheads, Pavement, Smudge, Verve, Wedding Present",Reading Little John's Farm,
26 August 1995,"On this day in 1995 Mike saw Bluetones, Boo Radleys, Drugstore, Echobelly, Electrafixion, Foo Fighters, Powder, Shed Seven, Skunk Anansie, Throwing Muses, at Reading Festival, Reading Little John's Farm",26,8,1995,Reading Festival,Foo Fighters,"Bluetones, Boo Radleys, Drugstore, Echobelly, Electrafixion, Foo Fighters, Powder, Shed Seven, Skunk Anansie, Throwing Muses",Reading Little John's Farm,
26 August 2008,On this day in 2008 Mike saw That Petrol Emotion at Tufnell Park - The Boston Arms,26,8,2008,That Petrol Emotion,That Petrol Emotion,,Tufnell Park - The Boston Arms,
26 August 2009,On this day in 2009 Mike saw Arctic Monkeys supported by Them Crooked Vultures at Brixton Academy,26,8,2009,Arctic Monkeys,Arctic Monkeys,Them Crooked Vultures,Brixton Academy,
27 August 1989,"On this day in 1989 Mike saw Butthole Surfers, Crazyhead, Head of David, Jesus Jones, Loop, Mission, Pop Will Eat Itself, Voice of the Beehive, Wonderstuff, World Domination Enterprises, at Reading Festival, Reading Little John's Farm",27,8,1989,Reading Festival,The Mission,"Butthole Surfers, Crazyhead, Head of David, Jesus Jones, Loop, Mission, Pop Will Eat Itself, Voice of the Beehive, Wonderstuff, World Domination Enterprises",Reading Little John's Farm,
27 August 1994,"On this day in 1994 Mike saw Compulsion, Elastica, Kitchens of Distinction, Madder Rose, Manic Street Preachers, Primal Scream, Pulp, Radiohead, Salad, Senseless Things, Terrorvision, at Reading Festival, Reading Little John's Farm",27,8,1994,Reading Festival,Primal Scream,"Compulsion, Elastica, Kitchens of Distinction, Madder Rose, Manic Street Preachers, Primal Scream, Pulp, Radiohead, Salad, Senseless Things, Terrorvision",Reading Little John's Farm,
27 August 1995,"On this day in 1995 Mike saw Ash, Babes in Toyland, Blind Melon, Buffalo Tom, Cast, Mudhoney, NO FX, Pavement, Pennywise, Vent, White Zombie, at Reading Festival, Reading Little John's Farm",27,8,1995,Reading Festival,Neil Young,"Ash, Babes in Toyland, Blind Melon, Buffalo Tom, Cast, Mudhoney, NO FX, Pavement, Pennywise, Vent, White Zombie",Reading Little John's Farm,
28 August 1994,"On this day in 1994 Mike saw Afghan Wigs, Cud, Echobelly, Helmet, Jesus Lizard, Red Hot Chilli Peppers, Rollins Band, Senser, Therapy?, Wildhearts, at Reading Festival, Reading Little John's Farm",28,8,1994,Reading Festival,Red Hot Chilli Peppers,"Afghan Wigs, Cud, Echobelly, Helmet, Jesus Lizard, Red Hot Chilli Peppers, Rollins Band, Senser, Therapy?, Wildhearts",Reading Little John's Farm,
1 September 1989,On this day in 1989 Mike saw Texas supported by Slide at Cambridge Corn Exchange,1,9,1989,Texas,Texas,Slide,Cambridge Corn Exchange,
1 September 1992,On this day in 1992 Mike saw Sultans of Ping FC at London Marquee Club,1,9,1992,Sultans of Ping FC,Sultans of Ping FC,,London Marquee Club,
4 September 1990,On this day in 1990 Mike saw Birdland at Cambridge - The Junction,4,9,1990,Birdland,Birdland,,Cambridge - The Junction,
5 September 2006,"On this day in 2006 Mike saw Subways supported by Sunshine Underground, Wry at Nottingham Rock City",5,9,2006,Subways,The Subways,"Sunshine Underground, Wry",Nottingham Rock City,
6 September 2004,On this day in 2004 Mike saw PJ Harvey supported by Knife & Fork at Nottingham Rock City,6,9,2004,PJ Harvey,PJ Harvey,Knife & Fork,Nottingham Rock City,
6 September 2018,On this day in 2018 Mike saw Ride supported by Wytches at Leamington Spa Assembly,6,9,2018,Ride,Ride,Wytches,Leamington Spa Assembly,
8 September 1992,"On this day in 1992 Mike saw Buffalo Tom supported by Eat, Thousand Yard Stare at London Town & Country Club",8,9,1992,Buffalo Tom,Buffalo Tom,"Eat, Thousand Yard Stare",London Town & Country Club,
10 September 1992,On this day in 1992 Mike saw Throwing Muses supported by Pond at Cambridge - The Junction,10,9,1992,Throwing Muses,Throwing Muses,Pond,Cambridge - The Junction,
12 September 1990,On this day in 1990 Mike saw Sonic Youth supported by These Immortal Souls at Brixton Academy,12,9,1990,Sonic Youth,Sonic Youth,These Immortal Souls,Brixton Academy,
13 September 2007,On this day in 2007 Mike saw House of Love at Camden Koko,13,9,2007,House of Love,House of Love,,Camden Koko,
16 September 2019,On this day in 2019 Mike saw Pixies at Birmingham O2 Academy ,16,9,2019,Pixies,The Pixies,,Birmingham O2 Academy ,
17 September 2015,"On this day in 2015 Mike saw Peter Hook & the Light at Derby, The Venue",17,9,2015,Peter Hook & the Light,Peter Hook & the Light,,"Derby, The Venue",
19 September 1990,"On this day in 1990 Mike saw Fugazi supported by Silverfish, Didjits at London Kilburn National",19,9,1990,Fugazi,Fugazi,"Silverfish, Didjits",London Kilburn National,
19 September 1992,On this day in 1992 Mike saw That Petrol Emotion at Cambridge - The Junction,19,9,1992,That Petrol Emotion,That Petrol Emotion,,Cambridge - The Junction,
20 September 2010,On this day in 2010 Mike saw Vaselines at Nottingham Rescue Rooms (Mike's 500th gig),20,9,2010,Vaselines,The Vaselines,,Nottingham Rescue Rooms,Mike's 500th gig
21 September 1994,On this day in 1994 Mike saw Pale Saints supported by Cranes at Cambridge - The Junction,21,9,1994,Pale Saints,The Cranes,Cranes,Cambridge - The Junction,
21 September 1995,On this day in 1995 Mike saw Green Day supported by Riverdales at Brixton Academy,21,9,1995,Green Day,Green Day,Riverdales,Brixton Academy,
21 September 2011,On this day in 2011 Mike saw Subways supported by Straight Lines. Kontours at Nottingham Rescue Rooms,21,9,2011,Subways,The Subways,Straight Lines. Kontours,Nottingham Rescue Rooms,
21 September 2019,On this day in 2019 Mike saw Peter Hook & the Light at Coventry Empire,21,9,2019,Peter Hook & the Light,Peter Hook & the Light,,Coventry Empire,
22 September 1990,On this day in 1990 Mike saw New Fast Automatic Daffodils supported by Sinister Groove at New Cross - The Venue,22,9,1990,New Fast Automatic Daffodils,New Fast Automatic Daffodils,Sinister Groove,New Cross - The Venue,
22 September 1995,On this day in 1995 Mike saw Levellers at Leicester Granby Halls,22,9,1995,Levellers,The Levellers,,Leicester Granby Halls,
22 September 2015,On this day in 2015 Mike saw Wolf Alice supported by Drenge at Sheffield Plug,22,9,2015,Wolf Alice,Wolf Alice,Drenge,Sheffield Plug,
25 September 1994,On this day in 1994 Mike saw Elastica supported by Ash at Cambridge - The Junction,25,9,1994,Elastica,Elastica,Ash,Cambridge - The Junction,
25 September 2003,On this day in 2003 Mike saw Cramps at Nottingham Rock City,25,9,2003,Cramps,The Cramps,,Nottingham Rock City,
25 September 2008,On this day in 2008 Mike saw Glasvegas at Nottingham Rescue Rooms,25,9,2008,Glasvegas,Glasvegas,,Nottingham Rescue Rooms,
26 September 1992,On this day in 1992 Mike saw Sultans of Ping FC supported by (the Becketts) at Cambridge - The Junction,26,9,1992,Sultans of Ping FC,Sultans of Ping FC,(the Becketts),Cambridge - The Junction,
27 September 2005,On this day in 2005 Mike saw Editors supported by We are Scientists at Nottingham Rescue Rooms,27,9,2005,Editors,Editors,We are Scientists,Nottingham Rescue Rooms,
27 September 2007,On this day in 2007 Mike saw Happy Mondays supported by Sunshine Underground at Nottingham Rock City,27,9,2007,Happy Mondays,Happy Mondays,Sunshine Underground,Nottingham Rock City,
28 September 2009,On this day in 2009 Mike saw Bombay Bicycle Club supported by Flashguns at Nottingham Rescue Rooms,28,9,2009,Bombay Bicycle Club,Bombay Bicycle Club,Flashguns,Nottingham Rescue Rooms,
29 September 1990,On this day in 1990 Mike saw Pogues supported by Prayer Boat at Cambridge Corn Exchange,29,9,1990,Pogues,The Pogues,Prayer Boat,Cambridge Corn Exchange,
29 September 1992,On this day in 1992 Mike saw EMF supported by My Life with the Thrill Kill Kult at Cambridge Corn Exchange,29,9,1992,EMF,EMF,My Life with the Thrill Kill Kult,Cambridge Corn Exchange,
29 September 1993,On this day in 1993 Mike saw Babes in Toyland supported by Truman's Water at Cambridge - The Junction,29,9,1993,Babes in Toyland,Babes in Toyland,Truman's Water,Cambridge - The Junction,
30 September 1992,On this day in 1992 Mike saw Godfathers supported by Tribe of Dan at Cambridge - The Junction,30,9,1992,Godfathers,The Godfathers,Tribe of Dan,Cambridge - The Junction,
30 September 1993,On this day in 1993 Mike saw Levellers supported by Papa Brittle at Cambridge Corn Exchange,30,9,1993,Levellers,The Levellers,Papa Brittle,Cambridge Corn Exchange,
30 September 1995,On this day in 1995 Mike saw Hedgepig at Cambridge - Man in the Moon,30,9,1995,Hedgepig,Hedgepig,,Cambridge - Man in the Moon,
30 September 2008,On this day in 2008 Mike saw Foals at Nottingham Rock City,30,9,2008,Foals,Foals,,Nottingham Rock City,
30 September 2013,On this day in 2013 Mike saw Art Brut at Nottingham Rescue Rooms,30,9,2013,Art Brut,Art Brut,,Nottingham Rescue Rooms,
1 October 1991,On this day in 1991 Mike saw Slowdive supported by Honey Trap at Cambridge - The Junction,1,10,1991,Slowdive,Slowdive,Honey Trap,Cambridge - The Junction,
1 October 1992,On this day in 1992 Mike saw Sugar supported by Venus Beads at Cambridge - The Junction,1,10,1992,Sugar,Sugar,Venus Beads,Cambridge - The Junction,
